name,attack,defense,cost,type,text
Strength of Night,,,{2}{G},Instant,"Kicker { B } < i > (You may pay an additional { B } as you cast this spell . ) < /i > $Creatures you control get +1/+1 until end of turn . If Strength of Night was kicked , Zombie creatures you control get an additional +2/+2 until end of turn ."
Army of Allah,,,{1}{W}{W},Instant,Attacking creatures get +2/+0 until end of turn .
Skirk Commando,1,2,{1}{R}{R},Creature - Goblin,"Whenever Skirk Commando deals combat damage to a player , you may have it deal 2 damage to target creature that player controls . $Morph { 2}{R } < i > (You may cast this card face down as a 2/2 creature for { 3 } . Turn it face up any time for its morph cost . ) < /i >"
Banners Raised,,,{R},Instant,Creatures you control get +1/+0 until end of turn .
Commander's Authority,,,{4}{W},Enchantment - Aura,"Enchant creature$Enchanted creature has "" At the beginning of your upkeep , put a 1/1 white Human creature token onto the battlefield . """
Devout Chaplain,2,2,{2}{W},Creature - Human Cleric,"{ tap } , Tap two untapped Humans you control : Exile target artifact or enchantment ."
Fettergeist,4,3,{2}{U},Creature - Spirit,"Flying$At the beginning of your upkeep , sacrifice Fettergeist unless you pay { 1 } for each other creature you control ."
Guise of Fire,,,{R},Enchantment - Aura,Enchant creature$Enchanted creature gets +1/-1 and attacks each turn if able .
Lair Delve,,,{2}{G},Sorcery,Reveal the top two cards of your library . Put all creature and land cards revealed this way into your hand and the rest on the bottom of your library in any order .
Moorland Inquisitor,2,2,{1}{W},Creature - Human Soldier,{ 2}{W }: Moorland Inquisitor gains first strike until end of turn .
Restoration Angel,4,3,{3}{W},Creature - Angel,"Flash$Flying$When Restoration Angel enters the battlefield , you may exile target non-Angel creature you control , then return that card to the battlefield under your control ."
Snare the Skies,,,{G},Instant,Target creature gets +1/+1 and gains reach until end of turn . < i > (It can block creatures with flying . ) < /i >
"Tibalt, the Fiend-Blooded",,,{R}{R},Planeswalker - Tibalt,"+1 : Draw a card , then discard a card at random . $-4 : Tibalt , the Fiend-Blooded deals damage equal to the number of cards in target player's hand to that player . $-6 : Gain control of all creatures until end of turn . Untap them . They gain haste until end of turn ."
Wild Defiance,,,{2}{G},Enchantment,"Whenever a creature you control becomes the target of an instant or sorcery spell , that creature gets +3/+3 until end of turn ."
Belligerent Whiptail,2,4,{3}{R},Creature - Wurm,"< i > Landfall < /i > â€” Whenever a land enters the battlefield under your control , Belligerent Whiptail gains first strike until end of turn ."
Carrier Thrall,1,2,{1}{B},Creature - Vampire,"When Carrier Thrall dies , put a 1/1 colorless Eldrazi Scion token onto the battlefield . It has "" Sacrifice this creature . Add { C } to your mana pool . """
Dominator Drone,2,3,{2}{B},Creature - Eldrazi Drone,"Devoid < i > (This creature has no color . ) < /i > $Ingest < i > (Whenever this creature deals combat damage to a player , that player exiles the top card of his or her library . ) < /i > $When Dominator Drone enters the battlefield , if you control another colorless creature , each opponent loses 2 life ."
Geyserfield Stalker,2,3,{4}{B},Creature - Elemental,"Menace$ < i > Landfall < /i > - Whenever a land enters the battlefield under your control , Geyserfield Stalker gets +2/+2 until end of turn ."
Infuse with the Elements,,,{3}{G},Instant,"< i > Converge < /i > - Put X +1/+1 counters on target creature , where X is the number of colors of mana spent to cast Infuse with the Elements . That creature gains trample until end of turn ."
March from the Tomb,,,{3}{W}{B},Sorcery,Return any number of target Ally creature cards with total converted mana cost 8 or less from your graveyard to the battlefield .
Oracle of Dust,5,3,{4}{U},Creature - Eldrazi Processor,"Devoid < i > (This card has no color . ) < /i > ${2 } , Put a card an opponent owns from exile into that player's graveyard : Draw a card , then discard a card ."
Retreat to Valakut,,,{2}{R},Enchantment,"< i > Landfall < /i > â€” Whenever a land enters the battlefield under your control , choose one â€” $â€¢ Target creature gets +2/+0 until end of turn . $â€¢ Target creature can't block this turn ."
Shambling Vent,,,,Land,Shambling Vent enters the battlefield tapped . ${T }: Add { W } or { B } to your mana pool . ${1}{W}{B }: Shambling Vent becomes a 2/3 white and black elemental creature with lifelink until end of turn . It's still a land .
Swarm Surge,,,{2}{B},Sorcery,Devoid < i > (This card has no color . ) < /i > $Creatures you control get +2/+0 until end of turn . Colorless creatures you control also gain first strike until end of turn .
Unnatural Aggression,,,{2}{G},Instant,"Devoid < i > (This card has no color . ) < /i > $Target creature you control fights target creature an opponent controls . If the creature an opponent controls would die this turn , exile it instead ."
Baku Altar,,,{2},Artifact,"Whenever you cast a Spirit or Arcane spell , you may put a ki counter on Baku Altar . ${2 } , { tap } , Remove a ki counter from Baku Altar : Put a 1/1 colorless Spirit creature token onto the battlefield ."
Eradicate,,,{2}{B}{B},Sorcery,"Exile target nonblack creature . Search its controller's graveyard , hand , and library for all cards with the same name as that creature and exile them . Then that player shuffles his or her library ."
Harbinger of Spring,1,2,{4}{G},Creature - Spirit,"Protection from non-Spirit creatures$Soulshift 4 < i > (When this creature dies , you may return target Spirit card with converted mana cost 4 or less from your graveyard to your hand . ) < /i >"
Kami of Tattered Shoji,5,2,{4}{W},Creature - Spirit,"Whenever you cast a Spirit or Arcane spell , Kami of Tattered Shoji gains flying until end of turn ."
Moonlit Strider,4,1,{3}{W},Creature - Spirit,"Sacrifice Moonlit Strider : Target creature you control gains protection from the color of your choice until end of turn . $Soulshift 3 < i > (When this creature dies , you may return target Spirit card with converted mana cost 3 or less from your graveyard to your hand . ) < /i >"
Psychic Spear,,,{B},Sorcery,Target player reveals his or her hand . You choose a Spirit or Arcane card from it . That player discards that card .
Shuriken,,,{1},Artifact - Equipment,"Equipped creature has "" { tap } , Unattach Shuriken : Shuriken deals 2 damage to target creature . That creature's controller gains control of Shuriken unless it was unattached from a Ninja . "" $Equip { 2 } < i > ({2 }: Attach to target creature you control . Equip only as a sorcery . ) < /i >"
Terashi's Verdict,,,{1}{W},Instant - Arcane,Destroy target attacking creature with power 3 or less .
"Yukora, the Prisoner",5,5,{2}{B}{B},Legendary Creature - Demon Spirit,"When Yukora , the Prisoner leaves the battlefield , sacrifice all non-Ogre creatures you control ."
"Brimaz, King of Oreskos",4,3,{1}{W}{W},Legendary Creature   Cat Soldier,"Vigilance$Whenever Brimaz , King of Oreskos attacks , put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield attacking . $Whenever Brimaz blocks a creature , put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield blocking that creature ."
Evanescent Intellect,,,{U},Enchantment - Aura,"Enchant creature$Enchanted creature has "" { 1}{U } , { T }: Target player puts the top three cards of his or her library into his or her graveyard . """
Forsaken Drifters,2,4,{3}{B},Creature - Zombie,"When Forsaken Drifters dies , put the top four cards of your library into your graveyard ."
"Kiora, the Crashing Wave",,,{2}{G}{U},Planeswalker   Kiora,"+1 : Until your next turn , prevent all damage that would be dealt to and dealt by target permanent an opponent controls . $-1 : Draw a card . You may play an additional land this turn . $-5 : You get an emblem with "" At the beginning of your end step , put a 9/9 blue Kraken creature token onto the battlefield . """
Nyxborn Wolf,1,3,{2}{G},Enchantment Creature   Wolf,Bestow { 4}{G}$Enchanted creature gets +3/+1 .
Retraction Helix,,,{U},Instant,"Until end of turn , target creature gains "" { T }: Return target nonland permanent to its owner's hand . """
Spirit of the Labyrinth,1,3,{1}{W},Enchantment Creature   Spirit,Each player can't draw more than one card each turn .
Whelming Wave,,,{2}{U}{U},Sorcery,"Return all creatures to their owners ' hands except for Krakens , Leviathans , Octopuses and Serpents ."
"Boseiju, Who Shelters All",,,,Legendary Land,"Boseiju , Who Shelters All enters the battlefield tapped . ${tap } , Pay 2 life : Add { C } to your mana pool . If that mana is spent on an instant or sorcery spell , that spell can't be countered by spells or abilities ."
Deathcurse Ogre,3,3,{5}{B},Creature - Ogre Warrior,"When Deathcurse Ogre dies , each player loses 3 life ."
General's Kabuto,,,{4},Artifact - Equipment,Equipped creature has shroud . < i > (It can't be the target of spells or abilities . ) < /i > $Prevent all combat damage that would be dealt to equipped creature . $Equip { 2 } < i > ({2 }: Attach to target creature you control . Equip only as a sorcery . ) < /i >
Hinder,,,{1}{U}{U},Instant,"Counter target spell . If that spell is countered this way , put that card on the top or bottom of its owner's library instead of into that player's graveyard ."
Innocence Kami,3,2,{3}{W}{W},Creature - Spirit,"{ W } , { tap }: Tap target creature . $Whenever you cast a Spirit or Arcane spell , untap Innocence Kami ."
Kashi-Tribe Warriors,4,2,{3}{G}{G},Creature - Snake Warrior,"Whenever Kashi-Tribe Warriors deals combat damage to a creature , tap that creature and it doesn't untap during its controller's next untap step ."
Lantern Kami,1,1,{W},Creature - Spirit,Flying
Myojin of Night's Reach,2,5,{5}{B}{B}{B},Legendary Creature - Spirit,Myojin of Night's Reach enters the battlefield with a divinity counter on it if you cast it from your hand . $Myojin of Night's Reach is indestructible as long as it has a divinity counter on it . $Remove a divinity counter from Myojin of Night's Reach : Each opponent discards his or her hand .
Ore Gorger,1,3,{3}{R}{R},Creature - Spirit,"Whenever you cast a Spirit or Arcane spell , you may destroy target nonbasic land ."
Reito Lantern,,,{2},Artifact,{ 3 }: Put target card from a graveyard on the bottom of its owner's library .
Shimatsu the Bloodcloaked,0,0,{3}{R},Legendary Creature - Demon Spirit,"As Shimatsu the Bloodcloaked enters the battlefield , sacrifice any number of permanents . Shimatsu enters the battlefield with that many +1/+1 counters on it ."
Strange Inversion,,,{2}{R},Instant - Arcane,"Switch target creature's power and toughness until end of turn . $Splice onto Arcane { 1}{R } < i > (As you cast an Arcane spell , you may reveal this card from your hand and pay its splice cost . If you do , add this card's effects to that spell . ) < /i >"
Unnatural Speed,,,{R},Instant - Arcane,Target creature gains haste until end of turn .
Adarkar Windform,3,3,{4}{U},Snow Creature - Illusion,Flying${1}{snow }: Target creature loses flying until end of turn . < i > ({snow } can be paid with one mana from a snow permanent . ) < /i >
Diamond Faerie,3,3,{2}{G}{W}{U},Snow Creature - Faerie,Flying${1}{snow }: Snow creatures you control get +1/+1 until end of turn . < i > ({snow } can be paid with one mana from a snow permanent . ) < /i >
Karplusan Wolverine,1,1,{R},Snow Creature - Wolverine Beast,"Whenever Karplusan Wolverine becomes blocked , you may have it deal 1 damage to target creature or player ."
Phyrexian Snowcrusher,5,6,{6},Snow Artifact Creature - Juggernaut,Phyrexian Snowcrusher attacks each turn if able . ${1}{snow }: Phyrexian Snowcrusher gets +1/+0 until end of turn . < i > ({snow } can be paid with one mana from a snow permanent . ) < /i >
Sunscour,,,{5}{W}{W},Sorcery,You may exile two white cards from your hand rather than pay Sunscour's mana cost . $Destroy all creatures .
"Animar, Soul of Elements",1,1,{U}{R}{G},Legendary Creature - Elemental,"Protection from white and from black$Whenever you cast a creature spell , put a +1/+1 counter on Animar , Soul of Elements . $Creature spells you cast cost { 1 } less to cast for each +1/+1 counter on Animar ."
Duergar Hedge-Mage,2,2,{2}{RW},Creature - Dwarf Shaman,"When Duergar Hedge-Mage enters the battlefield , if you control two or more Mountains , you may destroy target artifact . $When Duergar Hedge-Mage enters the battlefield , if you control two or more Plains , you may destroy target enchantment ."
Minds Aglow,,,{U},Sorcery,"Join forces - Starting with you , each player may pay any amount of mana . Each player draws X cards , where X is the total amount of mana paid this way ."
Spitebellows,1,6,{5}{R},Creature - Elemental,"When Spitebellows leaves the battlefield , it deals 6 damage to target creature . $Evoke { 1}{R}{R } < i > (You may cast this spell for its evoke cost . If you do , it's sacrificed when it enters the battlefield . ) < /i >"
Vulturous Zombie,3,3,{3}{B}{G},Creature - Plant Zombie,"Flying$Whenever a card is put into an opponent's graveyard from anywhere , put a +1/+1 counter on Vulturous Zombie ."
Curse of Inertia,,,{2}{U},Enchantment - Aura Curse,"Enchant player$Whenever a player attacks enchanted player with one or more creatures , that attacking player may tap or untap target permanent of his or her choice ."
"Gahiji, Honored One",4,4,{2}{R}{G}{W},Legendary Creature - Beast,"Whenever a creature attacks one of your opponents or a planeswalker an opponent controls , that creature gets +2/+0 until end of turn ."
Mosswort Bridge,,,,Land,"Hideaway < i > (This land enters the battlefield tapped . When it does , look at the top four cards of your library , exile one face down , then put the rest on the bottom of your library . ) < /i > ${tap }: Add { G } to your mana pool . ${G } , { tap }: You may play the exiled card without paying its mana cost if creatures you control have total power 10 or greater ."
Rubinia Soulsinger,3,2,{2}{G}{W}{U},Legendary Creature - Faerie,You may choose not to untap Rubinia Soulsinger during your untap step . ${tap }: Gain control of target creature for as long as you control Rubinia and Rubinia remains tapped .
Tempt with Discovery,,,{3}{G},Sorcery,"Tempting offer - Search your library for a land card and put it onto the battlefield . Each opponent may search his or her library for a land card and put it onto the battlefield . For each opponent who searches a library this way , search your library for a land card and put it onto the battlefield . Then each player who searched a library this way shuffles it ."
Angelic Field Marshal,3,3,{2}{W}{W},Creature - Angel,"Flying$Lieutenant - As long as you control your commander , Angelic Field Marshal gets +2/+2 and creatures you control have vigilance ."
Dormant Volcano,,,,Land,"Dormant Volcano enters the battlefield tapped . $When Dormant Volcano enters the battlefield , sacrifice it unless you return an untapped Mountain you control to its owner's hand . ${tap }: Add { C}{R } to your mana pool ."
Ixidron,*,*,{3}{U}{U},Creature - Illusion,"As Ixidron enters the battlefield , turn all other nontoken creatures face down . < i>(They're 2/2 creatures . )</i>$Ixidron's power and toughness are each equal to the number of face-down creatures on the battlefield ."
Riptide Survivor,1,2,{2}{U},Creature - Human Wizard,"Morph { 1}{U}{U } < i > (You may cast this card face down as a 2/2 creature for { 3 } . Turn it face up any time for its morph cost . ) < /i > $When Riptide Survivor is turned face up , discard two cards , then draw three cards ."
Whirlwind,,,{2}{G}{G},Sorcery,Destroy all creatures with flying .
Corpse Augur,2,4,{3}{B},Creature - Zombie Wizard,"When Corpse Augur dies , you draw X cards and you lose X life , where X is the number of creature cards in target player's graveyard ."
Magus of the Wheel,3,3,{2}{R},Creature - Human Wizard,"{ 1}{R } , { tap } , Sacrifice Magus of the Wheel : Each player discards his or her hand , then draws seven cards ."
Thought Vessel,,,{2},Artifact,You have no maximum hand size . ${tap }: Add { C } to your mana pool .
Charnelhoard Wurm,6,6,{4}{B}{R}{G},Creature - Wurm,"Trample$Whenever Charnelhoard Wurm deals damage to an opponent , you may return target card from your graveyard to your hand ."
Ethersworn Adjudicator,4,4,{4}{U},Artifact Creature - Vedalken Knight,"Flying${1}{W}{B } , { tap }: Destroy target creature or enchantment . ${2}{U }: Untap Ethersworn Adjudicator ."
Hellspark Elemental,1,3,{1}{R},Creature - Elemental,"Trample , haste$At the beginning of the end step , sacrifice Hellspark Elemental . $Unearth { 1}{R } < i > ({1}{R }: Return this card from your graveyard to the battlefield . It gains haste . Exile it at the beginning of the next end step or if it would leave the battlefield . Unearth only as a sorcery . ) < /i >"
Meglonoth,6,6,{3}{R}{G}{W},Creature - Beast,"Vigilance , trample$Whenever Meglonoth blocks a creature , Meglonoth deals damage to that creature's controller equal to Meglonoth's power ."
Rhox Bodyguard,3,2,{3}{G}{W},Creature - Rhino Monk Soldier,"Exalted < i > (Whenever a creature you control attacks alone , that creature gets +1/+1 until end of turn . ) < /i > $When Rhox Bodyguard enters the battlefield , you gain 3 life ."
Spore Burst,,,{3}{G},Sorcery,Domain - Put a 1/1 green Saproling creature token onto the battlefield for each basic land type among lands you control .
Wandering Goblins,3,0,{2}{R},Creature - Goblin Warrior,Domain - { 3 }: Wandering Goblins gets +1/+0 until end of turn for each basic land type among lands you control .
Grenzo's Cutthroat,1,1,{1}{R},Creature - Goblin Rogue,"First strike$Dethrone < i > (Whenever this creature attacks the player with the most life or tied for most life , put a +1/+1 counter on it . ) < /i >"
Tyrant's Choice,,,{1}{B},Sorcery,"Will of the council - Starting with you , each player votes for death or torture . If death gets more votes , each opponent sacrifices a creature . If torture gets more votes or the vote is tied , each opponent loses 4 life ."
Burden of Guilt,,,{W},Enchantment - Aura,Enchant creature${1 }: Tap enchanted creature .
Diregraf Captain,2,2,{1}{U}{B},Creature - Zombie Soldier,"Deathtouch$Other Zombie creatures you control get +1/+1 . $Whenever another Zombie you control dies , target opponent loses 1 life ."
Gavony Ironwright,4,1,{2}{W},Creature - Human Soldier,"Fateful hour - As long as you have 5 or less life , other creatures you control get +1/+4 ."
Hellrider,3,3,{2}{R}{R},Creature - Devil,"Haste$Whenever a creature you control attacks , Hellrider deals 1 damage to defending player ."
Lost in the Woods,,,{3}{G}{G},Enchantment,"Whenever a creature attacks you or a planeswalker you control , reveal the top card of your library . If it's a Forest card , remove that creature from combat . Then put the revealed card on the bottom of your library ."
Ray of Revelation,,,{1}{W},Instant,Destroy target enchantment . $Flashback { G } < i > (You may cast this card from your graveyard for its flashback cost . Then exile it . ) < /i >
"Sorin, Lord of Innistrad",,,{2}{W}{B},Planeswalker - Sorin,"+1 : Put a 1/1 black Vampire creature token with lifelink onto the battlefield . $-2 : You get an emblem with "" Creatures you control get +1/+0 . "" $-6 : Destroy up to three target creatures and/or other planeswalkers . Return each card put into a graveyard this way to the battlefield under your control ."
Vault of the Archangel,,,,Land,"{ tap }: Add { C } to your mana pool . ${2}{W}{B } , { tap }: Creatures you control gain deathtouch and lifelink until end of turn ."
Arcbound Ravager,0,0,{2},Artifact Creature - Beast,"Sacrifice an artifact : Put a +1/+1 counter on Arcbound Ravager . $Modular 1 < i > (This enters the battlefield with a +1/+1 counter on it . When it dies , you may put its +1/+1 counters on target artifact creature . ) < /i >"
Eater of Days,8,9,{4},Artifact Creature - Leviathan,"Flying , trample$When Eater of Days enters the battlefield , you skip your next two turns ."
Leonin Bola,,,{1},Artifact - Equipment,"Equipped creature has "" { tap } , Unattach Leonin Bola : Tap target creature . "" $Equip { 1 } < i > ({1 }: Attach to target creature you control . Equip only as a sorcery . This card enters the battlefield unattached and stays on the battlefield if the creature leaves . ) < /i >"
Pulse of the Grid,,,{1}{U}{U},Instant,"Draw two cards , then discard a card . Then if an opponent has more cards in hand than you , return Pulse of the Grid to its owner's hand ."
Sword of Fire and Ice,,,{3},Artifact - Equipment,"Equipped creature gets +2/+2 and has protection from red and from blue . $Whenever equipped creature deals combat damage to a player , Sword of Fire and Ice deals 2 damage to target creature or player and you draw a card . $Equip { 2 }"
Avatar of Discord,3,5,{BR}{BR}{BR},Creature - Avatar,"< i > ({BR } can be paid with either { B } or { R } . ) < /i > $Flying$When Avatar of Discord enters the battlefield , sacrifice it unless you discard two cards ."
Demonfire,,,{X}{R},Sorcery,"Demonfire deals X damage to target creature or player . If a creature dealt damage this way would die this turn , exile it instead . $Hellbent - If you have no cards in hand , Demonfire can't be countered by spells or abilities and the damage can't be prevented ."
Indrik Stomphowler,4,4,{4}{G},Creature - Beast,"When Indrik Stomphowler enters the battlefield , destroy target artifact or enchantment ."
Plaxcaster Frogling,0,0,{1}{G}{U},Creature - Frog Mutant,"Graft 3 < i > (This creature enters the battlefield with three +1/+1 counters on it . Whenever another creature enters the battlefield , you may move a +1/+1 counter from this creature onto it . ) < /i > ${2 }: Target creature with a +1/+1 counter on it gains shroud until end of turn . < i > (It can't be the target of spells or abilities . ) < /i >"
Seal of Doom,,,{2}{B},Enchantment,Sacrifice Seal of Doom : Destroy target nonblack creature . It can't be regenerated .
Twinstrike,,,{3}{B}{R},Instant,Twinstrike deals 2 damage to each of two target creatures . $Hellbent - Destroy those creatures instead if you have no cards in hand .
Armored Wolf-Rider,6,4,{3}{G}{W},Creature - Elf Knight,
Deadbridge Chant,,,{4}{B}{G},Enchantment,"When Deadbridge Chant enters the battlefield , put the top ten cards of your library into your graveyard . $At the beginning of your upkeep , choose a card at random in your graveyard . If it's a creature card , put it onto the battlefield . Otherwise , put it into your hand ."
Izzet Cluestone,,,{3},Artifact,"{ tap }: Add { U } or { R } to your mana pool . ${U}{R } , { tap } , Sacrifice Izzet Cluestone : Draw a card ."
Morgue Burst,,,{4}{B}{R},Sorcery,Return target creature card from your graveyard to your hand . Morgue Burst deals damage to target creature or player equal to the power of the card returned this way .
Render Silent,,,{W}{U}{U},Instant,Counter target spell . Its controller can't cast spells this turn .
Skylasher,2,2,{1}{G},Creature - Insect,"Flash$Skylasher can't be countered . $Reach , protection from blue"
Warped Physique,,,{U}{B},Instant,"Target creature gets +X/-X until end of turn , where X is the number of cards in your hand ."
Atarka Monument,,,{3},Artifact,{ T }: Add { R } or { G } to your mana pool . ${4}{R}{G }: Atarka Monument becomes a 4/4 red and green Dragon artifact creature with flying until end of turn .
Commune with Lava,,,{X}{R}{R},Instant,"Exile the top X cards of your library . Until the end of your next turn , you may play those cards ."
Dragonlord Atarka,8,8,{5}{R}{G},Legendary Creature - Elder Dragon,"Flying , trample$When Dragonlord Atarka enters the battlefield , it deals 5 damage divided as you choose among any number of target creatures and/or planeswalkers your opponents control ."
Encase in Ice,,,{1}{U},Enchantment - Aura,"Flash$Enchant red or green creature$When Encase in Ice enters the battlefield , tap enchanted creature . $Enchanted creature doesn't untap during its controller's untap step ."
Hand of Silumgar,1,2,{1}{B},Creature - Human Warrior,Deathtouch < i > (Any amount of damage this deals to a creature is enough to destroy it . ) < /i >
Learn from the Past,,,{3}{U},Instant,Target player shuffles his or her graveyard into his or her library$Draw a card
Ojutai Monument,,,{3},Artifact,{ T }: Add { W } or { U } to your mana pool . ${4}{W}{U }: Ojutai Monument becomes a 4/4 white and blue Dragon artifact creature with flying until end of turn .
Resupply,,,{5}{W},Instant,You gain 6 life . $Draw a card .
Seismic Rupture,,,{2}{R},Sorcery,Seismic Rupture deals 2 damage to each creature without flying .
Silumgar Spell-Eater,3,2,{2}{U},Creature - Naga Wizard,"Megamorph { 4}{U } < i > (You may cast this card face down as a 2/2 creature for { 3 } . Turn it face up any time for its megamorph cost and put a +1/+1 counter on it . ) < /i > $When Silumgar Spell-Eater is turned face up , counter target spell unless its controller pays { 3 } ."
Tread Upon,,,{1}{G},Instant,Target creature gets +2/+2 and gains trample until end of turn .
Distorting Lens,,,{2},Artifact,{ tap }: Target permanent becomes the color of your choice until end of turn .
Blinding Beam,,,{2}{W},Instant,Choose one - Tap two target creatures ; or creatures don't untap during target player's next untap step . $Entwine { 1 } < i > (Choose both if you pay the entwine cost . ) < /i >
Swell of Courage,,,{3}{W}{W},Instant,"Creatures you control get +2/+2 until end of turn . $Reinforce X-{X}{W}{W } < i > ({X}{W}{W } , Discard this card : Put X +1/+1 counters on target creature . ) < /i >"
"Ashling, the Extinguisher",4,4,{2}{B}{B},Legendary Creature - Elemental Shaman,"Whenever Ashling , the Extinguisher deals combat damage to a player , choose target creature that player controls . He or she sacrifices that creature ."
Crackleburr,2,2,{1}{UR}{UR},Creature - Elemental,"{ UR}{UR } , { tap } , Tap two untapped red creatures you control : Crackleburr deals 3 damage to target creature or player . ${UR}{UR } , { untap } , Untap two tapped blue creatures you control : Return target creature to its owner's hand . < i > ({untap } is the untap symbol . ) < /i >"
Evershrike,2,2,{3}{WB}{WB},Creature - Elemental Spirit,"Flying$Evershrike gets +2/+2 for each Aura attached to it . ${X}{WB}{WB }: Return Evershrike from your graveyard to the battlefield . You may put an Aura card with converted mana cost X or less from your hand onto the battlefield attached to it . If you don't , exile Evershrike ."
Hateflayer,5,5,{5}{R}{R},Creature - Elemental,"Wither < i > (This deals damage to creatures in the form of -1/-1 counters . ) < /i > ${2}{R } , { untap }: Hateflayer deals damage equal to its power to target creature or player . < i > ({untap } is the untap symbol . ) < /i >"
Marshdrinker Giant,3,4,{3}{G}{G},Creature - Giant Warrior,"When Marshdrinker Giant enters the battlefield , destroy target Island or Swamp an opponent controls ."
Oona's Grace,,,{2}{U},Instant,Target player draws a card . $Retrace < i > (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs . ) < /i >
Sapling of Colfenor,5,2,{3}{BG}{BG},Legendary Creature - Treefolk Shaman,"Sapling of Colfenor is indestructible . $Whenever Sapling of Colfenor attacks , reveal the top card of your library . If it's a creature card , you gain life equal to that card's toughness , lose life equal to its power , then put it into your hand ."
Stillmoon Cavalier,1,2,{1}{WB}{WB},Creature - Zombie Knight,Protection from white and from black${WB }: Stillmoon Cavalier gains flying until end of turn . ${WB }: Stillmoon Cavalier gains first strike until end of turn . ${WB}{WB }: Stillmoon Cavalier gets +1/+0 until end of turn .
Ward of Bones,,,{6},Artifact,"Each opponent who controls more creatures than you can't play creature cards . The same is true for artifacts , enchantments , and lands ."
Equilibrium,,,{1}{U}{U},Enchantment,"Whenever you cast a creature spell , you may pay { 1 } . If you do , return target creature to its owner's hand ."
Onslaught,,,{R},Enchantment,"Whenever you cast a creature spell , tap target creature ."
Sphere of Resistance,,,{2},Artifact,Spells cost { 1 } more to cast .
Dwarven Lieutenant,2,1,{R}{R},Creature - Dwarf Soldier,{ 1}{R }: Target Dwarf creature gets +1/+0 until end of turn .
Icatian Lieutenant,2,1,{W}{W},Creature - Human Soldier,{ 1}{W }: Target Soldier creature gets +1/+0 until end of turn .
Abzan Advantage,,,{1}{W},Instant,Target player sacrifices an enchantment . Bolster 1 . < i > (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it . ) < /i >
