,name,text
37,Warp World,"Each player shuffles all permanents they own into their library, then reveals that many cards from the top of their library. Each player puts all artifact, creature, and land cards revealed this way onto the battlefield, then does the same for enchantment cards, then puts all cards revealed this way that weren't put onto the battlefield on the bottom of their library."
38,Commune with Nature,Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.
39,Creeping Mold,"Destroy target artifact, enchantment, or land."
40,Hurricane,Hurricane deals X damage to each creature with flying and each player.
41,Natural Spring,Target player gains 8 life.
42,Overrun,Creatures you control get +3/+3 and gain trample until end of turn.
43,Rampant Growth,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
44,Recollect,Return target card from your graveyard to your hand.
45,Sylvan Scrying,"Search your library for a land card, reveal it, put it into your hand, then shuffle."
46,Armageddon,Destroy all lands.
47,Balance,"Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way."
48,Resurrection,Return target creature card from your graveyard to the battlefield.
49,Braingeyser,Target player draws X cards.
50,Drain Power,Target player activates a mana ability of each land they control. Then that player loses all unspent mana and you add the mana lost this way.
51,Time Walk,Take an extra turn after this one.
52,Timetwister,"Each player shuffles their hand and graveyard into their library, then draws seven cards. (Then put Timetwister into its owner's graveyard.)"
53,Volcanic Eruption,Destroy X target Mountains. Volcanic Eruption deals damage to each creature and each player equal to the number of Mountains put into a graveyard this way.
54,Contract from Below,"Remove Contract from Below from your deck before playing if you're not playing for ante.
Discard your hand, ante the top card of your library, then draw seven cards."
55,Darkpact,"Remove Darkpact from your deck before playing if you're not playing for ante.
You own target card in the ante. Exchange that card with the top card of your library."
56,Demonic Attorney,"Remove Demonic Attorney from your deck before playing if you're not playing for ante.
Each player antes the top card of their library."
57,Demonic Tutor,"Search your library for a card, put that card into your hand, then shuffle."
58,Drain Life,"Spend only black mana on X.
Drain Life deals X damage to any target. You gain life equal to the damage dealt, but not more life than the player's life total before the damage was dealt, the planeswalker's loyalty before the damage was dealt, or the creature's toughness."
59,Mind Twist,Target player discards X cards at random.
60,Raise Dead,Return target creature card from your graveyard to your hand.
61,Sinkhole,Destroy target land.
62,Disintegrate,"Disintegrate deals X damage to any target. If it's a creature, it can't be regenerated this turn, and if it would die this turn, exile it instead."
63,Earthquake,Earthquake deals X damage to each creature without flying and each player.
64,Fireball,"This spell costs {1} more to cast for each target beyond the first.
Fireball deals X damage divided evenly, rounded down, among any number of targets."
65,Flashfires,Destroy all Plains.
66,Stone Rain,Destroy target land.
67,Wheel of Fortune,"Each player discards their hand, then draws seven cards."
68,Channel,"Until end of turn, any time you could activate a mana ability, you may pay 1 life. If you do, add {C}."
69,Ice Storm,Destroy target land.
70,Regrowth,Return target card from your graveyard to your hand.
71,Stream of Life,Target player gains X life.
72,Tranquility,Destroy all enchantments.
73,Tsunami,Destroy all Islands.
74,Settle Beyond Reality,"Choose one or both —
• Exile target creature you don't control.
• Exile target creature you control, then return it to the battlefield under its owner's control."
75,Breakthrough,"Draw four cards, then choose X cards in your hand and discard the rest."
76,Deep Analysis,"Target player draws two cards.
Flashback—{1}{U}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
77,Wash Out,Return all permanents of the color of your choice to their owners' hands.
78,Damnation,Destroy all creatures. They can't be regenerated.
79,Imperial Seal,"Search your library for a card, then shuffle and put that card on top. You lose 2 life."
80,Inquisition of Kozilek,Target player reveals their hand. You choose a nonland card from it with mana value 3 or less. That player discards that card.
81,Severed Strands,"As an additional cost to cast this spell, sacrifice a creature.
You gain life equal to the sacrificed creature's toughness. Destroy target creature an opponent controls."
82,Unburial Rites,"Return target creature card from your graveyard to the battlefield.
Flashback {3}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
83,Unearth,"Return target creature card with mana value 3 or less from your graveyard to the battlefield.
Cycling {2} ({2}, Discard this card: Draw a card.)"
84,Anger of the Gods,"Anger of the Gods deals 3 damage to each creature. If a creature dealt damage this way would die this turn, exile it instead."
85,Lava Coil,"Lava Coil deals 4 damage to target creature. If that creature would die this turn, exile it instead."
86,Pirate's Pillage,"As an additional cost to cast this spell, discard a card.
Draw two cards and create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
87,Rift Bolt,"Rift Bolt deals 3 damage to any target.
Suspend 1—{R} (Rather than cast this card from your hand, you may pay {R} and exile it with a time counter on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
88,Sparkmage's Gambit,Sparkmage's Gambit deals 1 damage to each of up to two target creatures. Those creatures can't block this turn.
89,Surreal Memoir,"Return an instant card at random from your graveyard to your hand.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)"
90,Twinflame,"Strive — This spell costs {2}{R} more to cast for each target beyond the first.
Choose any number of target creatures you control. For each of them, create a token that's a copy of that creature, except it has haste. Exile those tokens at the beginning of the next end step."
91,Warrior's Oath,"Take an extra turn after this one. At the beginning of that turn's end step, you lose the game."
92,Biogenic Upgrade,"Distribute three +1/+1 counters among one, two, or three target creatures, then double the number of +1/+1 counters on each of those creatures."
93,Green Sun's Zenith,"Search your library for a green creature card with mana value X or less, put it onto the battlefield, then shuffle. Shuffle Green Sun's Zenith into its owner's library."
94,Spider Spawning,"Create a 1/2 green Spider creature token with reach for each creature card in your graveyard.
Flashback {6}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
95,Summer Bloom,You may play up to three additional lands this turn.
96,Thrive,Put a +1/+1 counter on each of X target creatures.
97,Travel Preparations,"Put a +1/+1 counter on each of up to two target creatures.
Flashback {1}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
98,Bring to Light,"Converge — Search your library for a creature, instant, or sorcery card with mana value less than or equal to the number of colors of mana spent to cast this spell, exile that card, then shuffle. You may cast that card without paying its mana cost."
99,Call to the Feast,Create three 1/1 white Vampire creature tokens with lifelink.
100,Extract from Darkness,Each player mills two cards. Then you put a creature card from a graveyard onto the battlefield under your control.
101,Fiery Justice,Fiery Justice deals 5 damage divided as you choose among any number of targets. Target opponent gains 5 life.
102,Glimpse the Unthinkable,Target player mills ten cards.
103,Ground Assault,Ground Assault deals damage to target creature equal to the number of lands you control.
104,Guided Passage,"Reveal the cards in your library. An opponent chooses from among them a creature card, a land card, and a noncreature, nonland card. You put the chosen cards into your hand. Then shuffle."
105,Heroic Reinforcements,"Create two 1/1 white Soldier creature tokens. Until end of turn, creatures you control get +1/+1 and gain haste. (They can attack and {T} this turn.)"
106,Lavalanche,Lavalanche deals X damage to target player or planeswalker and each creature that player or that planeswalker's controller controls.
107,Supreme Verdict,"This spell can't be countered.
Destroy all creatures."
108,Villainous Wealth,Target opponent exiles the top X cards of their library. You may cast any number of spells with mana value X or less from among them without paying their mana costs.
109,Austere Command,"Choose two —
• Destroy all artifacts.
• Destroy all enchantments.
• Destroy all creatures with mana value 3 or less.
• Destroy all creatures with mana value 4 or greater."
110,Council's Judgment,"Will of the council — Starting with you, each player votes for a nonland permanent you don't control. Exile each permanent with the most votes or tied for most votes."
111,Open the Vaults,Return all artifact and enchantment cards from all graveyards to the battlefield under their owners' control. (Auras with nothing to enchant remain in graveyards.)
112,Remember the Fallen,"Choose one or both —
• Return target creature card from your graveyard to your hand.
• Return target artifact card from your graveyard to your hand."
113,Revoke Existence,Exile target artifact or enchantment.
114,Argivian Restoration,Return target artifact card from your graveyard to the battlefield.
115,Reshape,"As an additional cost to cast this spell, sacrifice an artifact.
Search your library for an artifact card with mana value X or less, put it onto the battlefield, then shuffle."
116,Rush of Knowledge,Draw cards equal to the highest mana value among permanents you control.
117,Divest,Target player reveals their hand. You choose an artifact or creature card from it. That player discards that card.
118,Dread Return,"Return target creature card from your graveyard to the battlefield.
Flashback—Sacrifice three creatures. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
119,Drown in Sorrow,All creatures get -2/-2 until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
120,Heartless Pillage,"Target opponent discards two cards.
Raid — If you attacked this turn, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
121,Thoughtseize,Target player reveals their hand. You choose a nonland card from it. That player discards that card. You lose 2 life.
122,Toxic Deluge,"As an additional cost to cast this spell, pay X life.
All creatures get -X/-X until end of turn."
123,Blasphemous Act,"This spell costs {1} less to cast for each creature on the battlefield.
Blasphemous Act deals 13 damage to each creature."
124,Cathartic Reunion,"As an additional cost to cast this spell, discard two cards.
Draw three cards."
125,Dismantle,"Destroy target artifact. If that artifact had counters on it, put that many +1/+1 counters or charge counters on an artifact you control."
126,Heat Shimmer,"Create a token that's a copy of target creature, except it has haste and ""At the beginning of the end step, exile this permanent."""
127,Rolling Earthquake,Rolling Earthquake deals X damage to each creature without horsemanship and each player.
128,Trash for Treasure,"As an additional cost to cast this spell, sacrifice an artifact.
Return target artifact card from your graveyard to the battlefield."
129,Ancient Stirrings,Look at the top five cards of your library. You may reveal a colorless card from among them and put it into your hand. Then put the rest on the bottom of your library in any order.
130,Chatter of the Squirrel,"Create a 1/1 green Squirrel creature token.
Flashback {1}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
131,Enlarge,Target creature gets +7/+7 and gains trample until end of turn. It must be blocked this turn if able. (A creature with trample can deal excess combat damage to the player or planeswalker it's attacking.)
132,Gelatinous Genesis,Create X X/X green Ooze creature tokens.
133,Shamanic Revelation,"Draw a card for each creature you control.
Ferocious — You gain 4 life for each creature you control with power 4 or greater."
134,Maelstrom Pulse,Destroy target nonland permanent and all other permanents with the same name as that permanent.
135,Merciless Eviction,"Choose one —
• Exile all artifacts.
• Exile all creatures.
• Exile all enchantments.
• Exile all planeswalkers."
136,Reconstruction,Return target artifact card from your graveyard to your hand.
137,Desert Twister,Destroy target permanent.
138,For the Emperor!,Creatures you control get +2/+2 and gain vigilance and lifelink until end of turn.
139,Blight Grenade,"Destroy target creature.
All creatures get -3/-3 until end of turn."
140,Mandate of Abaddon,Choose target creature you control. Destroy all creatures with power less than that creature's power.
141,Their Name Is Death,Destroy all nonartifact creatures.
142,Their Number Is Legion,"Create X tapped 2/2 black Necron Warrior artifact creature tokens, then you gain life equal to the number of artifacts you control. Exile Their Number Is Legion.
You may cast Their Number Is Legion from your graveyard."
143,Let the Galaxy Burn,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)
Let the Galaxy Burn deals X plus 2 damage to each creature that didn't enter the battlefield this turn."
144,Tyranid Invasion,Create a number of 3/3 green Tyranid Warrior creature tokens with trample equal to the number of opponents you have.
145,Exterminatus,"Nonland permanents your opponents control lose indestructible until end of turn.
Destroy all nonland permanents."
146,Fabricate,"Search your library for an artifact card, reveal it, put it into your hand, then shuffle."
147,Collective Effort,"Escalate—Tap an untapped creature you control. (Pay this cost for each mode chosen beyond the first.)
Choose one or more —
• Destroy target creature with power 4 or greater.
• Destroy target enchantment.
• Put a +1/+1 counter on each creature target player controls."
148,Deploy to the Front,"Create X 1/1 white Soldier creature tokens, where X is the number of creatures on the battlefield."
149,Fell the Mighty,Destroy all creatures with power greater than target creature's power.
150,Hour of Reckoning,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Destroy all nontoken creatures."
151,Launch the Fleet,"Strive — This spell costs {1} more to cast for each target beyond the first.
Until end of turn, any number of target creatures each gain ""Whenever this creature attacks, create a 1/1 white Soldier creature token that's tapped and attacking."""
152,Martial Coup,"Create X 1/1 white Soldier creature tokens. If X is 5 or more, destroy all other creatures."
153,Decree of Pain,"Destroy all creatures. They can't be regenerated. Draw a card for each creature destroyed this way.
Cycling {3}{B}{B} ({3}{B}{B}, Discard this card: Draw a card.)
When you cycle Decree of Pain, all creatures get -2/-2 until end of turn."
154,Living Death,"Each player exiles all creature cards from their graveyard, then sacrifices all creatures they control, then puts all cards they exiled this way onto the battlefield."
155,Mutilate,All creatures get -1/-1 until end of turn for each Swamp you control.
156,Past in Flames,"Each instant and sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost.
Flashback {4}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
157,Cultivate,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle."
158,Explore,"You may play an additional land this turn.
Draw a card."
159,Farseek,"Search your library for a Plains, Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle."
160,Deny Reality,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)
Return target permanent to its owner's hand."
161,Hull Breach,"Choose one —
• Destroy target artifact.
• Destroy target enchantment.
• Destroy target artifact and target enchantment."
162,Visions,Look at the top five cards of target player's library. You may then have that player shuffle that library.
163,Energy Tap,"Tap target untapped creature you control. If you do, add an amount of {C} equal to that creature's mana value."
164,Mind Bomb,Each player may discard up to three cards. Mind Bomb deals damage to each player equal to 3 minus the number of cards they discarded this way.
165,Ashes to Ashes,Exile two target nonartifact creatures. Ashes to Ashes deals 5 damage to you.
166,Word of Binding,Tap X target creatures.
167,Detonate,Destroy target artifact with mana value X. It can't be regenerated. Detonate deals X damage to that artifact's controller.
168,Mana Clash,You and target opponent each flip a coin. Mana Clash deals 1 damage to each player whose coin comes up tails. Repeat this process until both players' coins come up heads on the same flip.
169,Pyrotechnics,Pyrotechnics deals 4 damage divided as you choose among any number of targets.
170,Winds of Change,"Each player shuffles the cards from their hand into their library, then draws that many cards."
171,Rebirth,"Remove Rebirth from your deck before playing if you're not playing for ante.
Each player may ante the top card of their library. If a player does, that player's life total becomes 20."
172,Untamed Wilds,"Search your library for a basic land card, put that card onto the battlefield, then shuffle."
173,Winter Blast,Tap X target creatures. Winter Blast deals 2 damage to each of those creatures with flying.
174,Roar of Reclamation,Each player returns all artifact cards from their graveyard to the battlefield.
175,Steelshaper's Gift,"Search your library for an Equipment card, reveal that card, put it into your hand, then shuffle."
176,Acquire,Search target opponent's library for an artifact card and put that card onto the battlefield under your control. Then that player shuffles.
177,Beacon of Tomorrows,Target player takes an extra turn after this one. Shuffle Beacon of Tomorrows into its owner's library.
178,Serum Visions,Draw a card. Scry 2.
179,Fill with Fright,"Target player discards two cards. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
180,Night's Whisper,You draw two cards and you lose 2 life.
181,Shattered Dreams,Target opponent reveals their hand. You choose an artifact card from it. That player discards that card.
182,Vicious Betrayal,"As an additional cost to cast this spell, sacrifice any number of creatures.
Target creature gets +2/+2 until end of turn for each creature sacrificed this way."
183,Granulate,Destroy each nonland artifact with mana value 4 or less.
184,Mana Geyser,Add {R} for each tapped land your opponents control.
185,Reversal of Fortune,"Target opponent reveals their hand. You may copy an instant or sorcery card in it. If you do, you may cast the copy without paying its mana cost."
186,Screaming Fury,Target creature gets +5/+0 and gains haste until end of turn.
187,All Suns' Dawn,"For each color, return up to one target card of that color from your graveyard to your hand. Exile All Suns' Dawn."
188,Beacon of Creation,Create a 1/1 green Insect creature token for each Forest you control. Shuffle Beacon of Creation into its owner's library.
189,Channel the Suns,Add {W}{U}{B}{R}{G}.
190,Rude Awakening,"Choose one —
• Untap all lands you control.
• Until end of turn, lands you control become 2/2 creatures that are still lands.
Entwine {2}{G} (Choose both if you pay the entwine cost.)"
191,Dust to Dust,Exile two target artifacts.
192,Icatian Town,Create four 1/1 white Citizen creature tokens.
193,Forget,"Target player discards two cards, then draws as many cards as they discarded this way."
194,Juxtapose,"You and target player exchange control of the creature you each control with the highest mana value. Then exchange control of artifacts the same way. If two or more permanents a player controls are tied for highest, their controller chooses one of them."
195,Portent,"Look at the top three cards of target player's library, then put them back in any order. You may have that player shuffle.
Draw a card at the beginning of the next turn's upkeep."
196,Recall,"Discard X cards, then return a card from your graveyard to your hand for each card discarded this way. Exile Recall."
197,Mind Ravel,"Target player discards a card.
Draw a card at the beginning of the next turn's upkeep."
198,Mind Warp,Look at target player's hand and choose X cards from it. That player discards those cards.
199,Pox,"Each player loses a third of their life, then discards a third of the cards in their hand, then sacrifices a third of the creatures they control, then sacrifices a third of the lands they control. Round up each time."
200,Touch of Death,"Touch of Death deals 1 damage to target player or planeswalker. You gain 1 life.
Draw a card at the beginning of the next turn's upkeep."
201,Game of Chaos,"Flip a coin. If you win the flip, you gain 1 life and target opponent loses 1 life, and you decide whether to flip again. If you lose the flip, you lose 1 life and that opponent gains 1 life, and that player decides whether to flip again. Double the life stakes with each flip."
202,Jokulhaups,"Destroy all artifacts, creatures, and lands. They can't be regenerated."
203,Nature's Lore,"Search your library for a Forest card, put that card onto the battlefield, then shuffle."
204,Tariff,"Each player sacrifices the creature they control with the highest mana value unless they pay that creature's mana cost. If two or more creatures a player controls are tied for highest, that player chooses one."
205,Ancestral Memories,Look at the top seven cards of your library. Put two of them into your hand and the rest into your graveyard.
206,Diminishing Returns,Each player shuffles their hand and graveyard into their library. You exile the top ten cards of your library. Then each player draws up to seven cards.
207,Dream Cache,"Draw three cards, then put two cards from your hand both on top of your library or both on the bottom of your library."
208,Library of Lat-Nam,"An opponent chooses one —
• You draw three cards at the beginning of the next turn's upkeep.
• You search your library for a card, put that card into your hand, then shuffle."
209,Polymorph,"Destroy target creature. It can't be regenerated. Its controller reveals cards from the top of their library until they reveal a creature card. The player puts that card onto the battlefield, then shuffles all other cards revealed this way into their library."
210,Prosperity,Each player draws X cards.
211,Psychic Transfer,"If the difference between your life total and target player's life total is 5 or less, exchange life totals with that player."
212,Relearn,Return target instant or sorcery card from your graveyard to your hand.
213,Tidal Surge,Tap up to three target creatures without flying.
214,Ashen Powder,Put target creature card from an opponent's graveyard onto the battlefield under your control.
215,Coercion,Target opponent reveals their hand. You choose a card from it. That player discards that card.
216,Doomsday,"Search your library and graveyard for five cards and exile the rest. Put the chosen cards on top of your library in any order. You lose half your life, rounded up."
217,Dry Spell,Dry Spell deals 1 damage to each creature and each player.
218,Infernal Contract,"Draw four cards. You lose half your life, rounded up."
219,Painful Memories,Look at target opponent's hand and choose a card from it. Put that card on top of that player's library.
220,Perish,Destroy all green creatures. They can't be regenerated.
221,Stupor,"Target opponent discards a card at random, then discards a card."
222,Syphon Soul,Syphon Soul deals 2 damage to each other player. You gain life equal to the damage dealt this way.
223,Fit of Rage,Target creature gets +3/+3 and gains first strike until end of turn.
224,Hammer of Bogardan,"Hammer of Bogardan deals 3 damage to any target.
{2}{R}{R}{R}: Return Hammer of Bogardan from your graveyard to your hand. Activate only during your upkeep."
225,Illicit Auction,"Each player may bid life for control of target creature. You start the bidding with a bid of 0. In turn order, each player may top the high bid. The bidding ends if the high bid stands. The high bidder loses life equal to the high bid and gains control of the creature. (This effect lasts indefinitely.)"
226,Pillage,Destroy target artifact or land. It can't be regenerated.
227,Tremor,Tremor deals 1 damage to each creature without flying.
228,Elven Cache,Return target card from your graveyard to your hand.
229,Fallow Earth,Put target land on top of its owner's library.
230,Nature's Resurgence,Each player draws a card for each creature card in their graveyard.
231,Waiting in the Weeds,Each player creates a 1/1 green Cat creature token for each untapped Forest they control.
232,Breath of Life,Return target creature card from your graveyard to the battlefield.
233,Gerrard's Wisdom,You gain 2 life for each card in your hand.
234,Purify,Destroy all artifacts and enchantments.
235,Sacred Nectar,You gain 4 life.
236,Starlight,You gain 3 life for each black creature target opponent controls.
237,Vengeance,Destroy target tapped creature.
238,Baleful Stare,Target opponent reveals their hand. You draw a card for each Mountain and red card in it.
239,Sleight of Hand,Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.
240,Befoul,Destroy target land or nonblack creature. It can't be regenerated.
241,Corrupt,Corrupt deals damage to any target equal to the number of Swamps you control. You gain life equal to the damage dealt this way.
242,Dregs of Sorrow,Destroy X target nonblack creatures. Draw X cards.
243,Duress,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card."
244,Fugue,Target player discards three cards.
245,Nausea,All creatures get -1/-1 until end of turn.
246,Ostracize,Target opponent reveals their hand. You choose a creature card from it. That player discards that card.
247,Persecute,Choose a color. Target player reveals their hand and discards all cards of that color.
248,Reprocess,"Sacrifice any number of artifacts, creatures, and/or lands. Draw a card for each permanent sacrificed this way."
249,Disorder,Disorder deals 2 damage to each white creature and each player who controls a white creature.
250,Volcanic Hammer,Volcanic Hammer deals 3 damage to any target.
251,Wildfire,Each player sacrifices four lands. Wildfire deals 4 damage to each creature.
252,Monstrous Growth,Target creature gets +4/+4 until end of turn.
253,Squall,Squall deals 2 damage to each creature with flying.
254,Wing Snare,Destroy target creature with flying.
255,Peach Garden Oath,You gain 2 life for each creature you control.
256,Balance of Power,"If target opponent has more cards in hand than you, draw cards equal to the difference."
257,Bribery,Search target opponent's library for a creature card and put that card onto the battlefield under your control. Then that player shuffles.
258,Concentrate,Draw three cards.
259,Index,"Look at the top five cards of your library, then put them back in any order."
260,Merchant Scroll,"Search your library for a blue instant card, reveal that card, put it into your hand, then shuffle."
261,Ambition's Cost,You draw three cards and you lose 3 life.
262,Mind Sludge,Target player discards a card for each Swamp you control.
263,Sever Soul,Destroy target nonblack creature. It can't be regenerated. You gain life equal to its toughness.
264,Vicious Hunger,Vicious Hunger deals 2 damage to target creature and you gain 2 life.
265,Zombify,Return target creature card from your graveyard to the battlefield.
266,Obliterate,"This spell can't be countered.
Destroy all artifacts, creatures, and lands. They can't be regenerated."
267,Panic Attack,Up to three target creatures can't block this turn.
268,Sizzle,Sizzle deals 3 damage to each opponent.
269,Thieves' Auction,"Exile all nontoken permanents. Starting with you, each player chooses one of the exiled cards and puts it onto the battlefield tapped under their control. Repeat this process until all cards exiled this way have been chosen."
270,Collective Unconscious,Draw a card for each creature you control.
271,Plow Under,Put two target lands on top of their owners' libraries.
272,Revive,Return target green card from your graveyard to your hand.
273,Gift of Estates,"If an opponent controls more lands than you, search your library for up to three Plains cards, reveal them, put them into your hand, then shuffle."
274,Exhaustion,Creatures and lands target opponent controls don't untap during their next untap step.
275,Time Ebb,Put target creature on top of its owner's library.
276,Withering Gaze,Target opponent reveals their hand. You draw a card for each Forest and green card in it.
277,Blackmail,Target player reveals three cards from their hand and you choose one of them. That player discards that card.
278,Final Punishment,Target player loses life equal to the damage already dealt to that player this turn.
279,Boiling Seas,Destroy all Islands.
280,Flame Wave,Flame Wave deals 4 damage to target player or planeswalker and each creature that player or that planeswalker's controller controls.
281,Biorhythm,Each player's life total becomes the number of creatures they control.
282,Needle Storm,Needle Storm deals 4 damage to each creature with flying.
283,Weird Harvest,"Each player may search their library for up to X creature cards, reveal those cards, put them into their hand, then shuffle."
284,Akroma's Vengeance,"Destroy all artifacts, creatures, and enchantments.
Cycling {3} ({3}, Discard this card: Draw a card.)"
285,Decree of Justice,"Create X 4/4 white Angel creature tokens with flying.
Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.)
When you cycle Decree of Justice, you may pay {X}. If you do, create X 1/1 white Soldier creature tokens."
286,Path of Peace,Destroy target creature. Its owner gains 4 life.
287,"Borrowing 100,000 Arrows",Draw a card for each tapped creature target opponent controls.
288,Ancient Craving,You draw three cards and you lose 3 life.
289,Dirge of Dread,"All creatures gain fear until end of turn. (They can't be blocked except by artifact creatures and/or black creatures.)
Cycling {1}{B} ({1}{B}, Discard this card: Draw a card.)
When you cycle Dirge of Dread, you may have target creature gain fear until end of turn."
290,Act of Treason,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.)
291,Browbeat,"Any player may have Browbeat deal 5 damage to them. If no one does, target player draws three cards."
292,Cinder Storm,Cinder Storm deals 7 damage to any target.
293,Hordeling Outburst,Create three 1/1 red Goblin creature tokens.
294,Epic Confrontation,Target creature you control gets +1/+2 until end of turn. It fights target creature you don't control. (Each deals damage equal to its power to the other.)
295,Living Wish,You may reveal a creature or land card you own from outside the game and put it into your hand. Exile Living Wish.
296,Blightning,Blightning deals 3 damage to target player or planeswalker. That player or that planeswalker's controller discards two cards.
297,Conflux,"Search your library for a white card, a blue card, a black card, a red card, and a green card. Reveal those cards, put them into your hand, then shuffle."
298,Vindicate,Destroy target permanent.
299,Sram's Expertise,"Create three 1/1 colorless Servo artifact creature tokens.
You may cast a spell with mana value 3 or less from your hand without paying its mana cost."
300,Baral's Expertise,"Return up to three target artifacts and/or creatures to their owners' hands.
You may cast a spell with mana value 4 or less from your hand without paying its mana cost."
301,Reverse Engineer,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Draw three cards."
302,Battle at the Bridge,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Target creature gets -X/-X until end of turn. You gain X life."
303,Daring Demolition,Destroy target creature or Vehicle.
304,Resourceful Return,"Return target creature card from your graveyard to your hand. If you control an artifact, draw a card."
305,Secret Salvage,"Exile target nonland card from your graveyard. Search your library for any number of cards with the same name as that card, reveal them, put them into your hand, then shuffle."
306,Yahenni's Expertise,"All creatures get -3/-3 until end of turn.
You may cast a spell with mana value 3 or less from your hand without paying its mana cost."
