,name,text
61,Sleight of Mind,"Change the text of target spell or permanent by replacing all instances of one color word with another. (For example, you may change ""target black spell"" to ""target blue spell."" This effect lasts indefinitely.)"
62,Spell Blast,"Counter target spell with mana value X. (For example, if that spell's mana cost is {3}{U}{U}, X is 5.)"
63,Thoughtlace,Target spell or permanent becomes blue. (Mana symbols on that permanent remain unchanged.)
64,Twiddle,"You may tap or untap target artifact, creature, or land."
65,Dark Ritual,Add {B}{B}{B}.
66,Deathlace,Target spell or permanent becomes black. (Mana symbols on that permanent remain unchanged.)
67,Howl from Beyond,Target creature gets +X/+0 until end of turn.
68,Sacrifice,"As an additional cost to cast this spell, sacrifice a creature.
Add an amount of {B} equal to the sacrificed creature's mana value."
69,Simulacrum,You gain life equal to the damage dealt to you this turn. Simulacrum deals damage to target creature you control equal to the damage dealt to you this turn.
70,Word of Command,"Look at target opponent's hand and choose a card from it. You control that player until Word of Command finishes resolving. The player plays that card if able. While doing so, the player can activate mana abilities only if they're from lands that player controls and only if mana they produce is spent to activate other mana abilities of lands the player controls and/or to play that card. If the chosen card is cast as a spell, you control the player while that spell is resolving."
71,Chaoslace,Target spell or permanent becomes red. (Its mana symbols remain unchanged.)
72,False Orders,"Cast this spell only during the declare blockers step.
Remove target creature defending player controls from combat. Creatures it was blocking that had become blocked by only that creature this combat become unblocked. You may have it block an attacking creature of your choice."
73,Fork,"Copy target instant or sorcery spell, except that the copy is red. You may choose new targets for the copy."
74,Lightning Bolt,Lightning Bolt deals 3 damage to any target.
75,Red Elemental Blast,"Choose one —
• Counter target blue spell.
• Destroy target blue permanent."
76,Shatter,Destroy target artifact.
77,Tunnel,Destroy target Wall. It can't be regenerated.
78,Berserk,"Cast this spell only before the combat damage step.
Target creature gains trample and gets +X/+0 until end of turn, where X is its power. At the beginning of the next end step, destroy that creature if it attacked this turn."
79,Camouflage,"Cast this spell only during your declare attackers step.
This turn, instead of declaring blockers, each defending player chooses any number of creatures they control and divides them into a number of piles equal to the number of attacking creatures for whom that player is the defending player. Creatures those players control that can block additional creatures may likewise be put into additional piles. Assign each pile to a different one of those attacking creatures at random. Each creature in a pile that can block the creature that pile is assigned to does so. (Piles can be empty.)"
80,Fog,Prevent all combat damage that would be dealt this turn.
81,Lifelace,Target spell or permanent becomes green. (Mana symbols on that permanent remain unchanged.)
82,Natural Selection,"Look at the top three cards of target player's library, then put them back in any order. You may have that player shuffle."
83,Battlefield Promotion,Put a +1/+1 counter on target creature. That creature gains first strike until end of turn. You gain 2 life.
84,Gods Willing,"Target creature you control gains protection from the color of your choice until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything of that color.)
Scry 1."
85,Last Breath,Exile target creature with power 2 or less. Its controller gains 4 life.
86,Momentary Blink,"Exile target creature you control, then return it to the battlefield under its owner's control.
Flashback {3}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
87,Path to Exile,"Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle."
88,Scale Blessing,"Bolster 1, then put a +1/+1 counter on each creature you control with a +1/+1 counter on it. (To bolster 1, choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)"
89,Teferi's Protection,"Until your next turn, your life total can't change and you gain protection from everything. All permanents you control phase out. (While they're phased out, they're treated as though they don't exist. They phase in before you untap during your untap step.)
Exile Teferi's Protection."
90,Forbidden Alchemy,"Look at the top four cards of your library. Put one of them into your hand and the rest into your graveyard.
Flashback {6}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
91,Force of Negation,"If it's not your turn, you may exile a blue card from your hand rather than pay this spell's mana cost.
Counter target noncreature spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard."
92,Gifts Ungiven,Search your library for up to four cards with different names and reveal them. Target opponent chooses two of those cards. Put the chosen cards into your graveyard and the rest into your hand. Then shuffle.
93,Mana Drain,"Counter target spell. At the beginning of your next main phase, add an amount of {C} equal to that spell's mana value."
94,Mana Leak,Counter target spell unless its controller pays {3}.
95,Pull from Tomorrow,"Draw X cards, then discard a card."
96,Spell Pierce,Counter target noncreature spell unless its controller pays {2}.
97,Thought Scour,"Target player mills two cards.
Draw a card."
98,Disfigure,Target creature gets -2/-2 until end of turn.
99,Go for the Throat,Destroy target nonartifact creature.
100,Supernatural Stamina,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control."""
101,Surgical Extraction,"({B/P} can be paid with either {B} or 2 life.)
Choose target card in a graveyard other than a basic land card. Search its owner's graveyard, hand, and library for any number of cards with the same name as that card and exile them. Then that player shuffles."
102,Chaos Warp,"The owner of target permanent shuffles it into their library, then reveals the top card of their library. If it's a permanent card, they put it onto the battlefield."
103,Fiery Fall,"Fiery Fall deals 5 damage to target creature.
Basic landcycling {1}{R} ({1}{R}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
104,Staggershock,"Staggershock deals 2 damage to any target.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)"
105,Titan's Strength,Target creature gets +3/+1 until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
106,Ambuscade,Target creature you control gets +1/+0 until end of turn. It deals damage equal to its power to target creature an opponent controls.
107,Grapple with the Past,"Mill three cards, then you may return a creature or land card from your graveyard to your hand."
108,Might of Old Krosa,"Target creature gets +2/+2 until end of turn. If you cast this spell during your main phase, that creature gets +4/+4 until end of turn instead."
109,Abzan Charm,"Choose one —
• Exile target creature with power 3 or greater.
• You draw two cards and you lose 2 life.
• Distribute two +1/+1 counters among one or two target creatures."
110,Aethermage's Touch,"Reveal the top four cards of your library. You may put a creature card from among them onto the battlefield. It gains ""At the beginning of your end step, return this creature to its owner's hand."" Then put the rest of the cards revealed this way on the bottom of your library in any order."
111,Agony Warp,"Target creature gets -3/-0 until end of turn.
Target creature gets -0/-3 until end of turn."
112,Anguished Unmaking,Exile target nonland permanent. You lose 3 life.
113,Assassin's Trophy,"Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle."
114,Atarka's Command,"Choose two —
• Your opponents can't gain life this turn.
• Atarka's Command deals 3 damage to each opponent.
• You may put a land card from your hand onto the battlefield.
• Creatures you control get +1/+1 and gain reach until end of turn."
115,Auger Spree,Target creature gets +4/-4 until end of turn.
116,Bant Charm,"Choose one —
• Destroy target artifact.
• Put target creature on the bottom of its owner's library.
• Counter target instant spell."
117,Crackling Doom,Crackling Doom deals 2 damage to each opponent. Each opponent sacrifices a creature with the greatest power among creatures that player controls.
118,Dromoka's Command,"Choose two —
• Prevent all damage target instant or sorcery spell would deal this turn.
• Target player sacrifices an enchantment.
• Put a +1/+1 counter on target creature.
• Target creature you control fights target creature you don't control."
119,Izzet Charm,"Choose one —
• Counter target noncreature spell unless its controller pays {2}.
• Izzet Charm deals 2 damage to target creature.
• Draw two cards, then discard two cards."
120,Jeskai Charm,"Choose one —
• Put target creature on top of its owner's library.
• Jeskai Charm deals 4 damage to target opponent or planeswalker.
• Creatures you control get +1/+1 and gain lifelink until end of turn."
121,Kolaghan's Command,"Choose two —
• Return target creature card from your graveyard to your hand.
• Target player discards a card.
• Destroy target artifact.
• Kolaghan's Command deals 2 damage to any target."
122,Lightning Helix,Lightning Helix deals 3 damage to any target and you gain 3 life.
123,Martial Glory,"Target creature gets +3/+0 until end of turn.
Target creature gets +0/+3 until end of turn."
124,Prophetic Bolt,Prophetic Bolt deals 4 damage to any target. Look at the top four cards of your library. Put one of those cards into your hand and the rest on the bottom of your library in any order.
125,Terminate,Destroy target creature. It can't be regenerated.
126,Fortify,"Choose one —
• Creatures you control get +2/+0 until end of turn.
• Creatures you control get +0/+2 until end of turn."
127,Strength of Arms,"Target creature gets +2/+2 until end of turn. If you control an Equipment, create a 1/1 white Human Soldier creature token."
128,Topple the Statue,"Tap target permanent. If it's an artifact, destroy it.
Draw a card."
129,Valorous Stance,"Choose one —
• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Destroy target creature with toughness 4 or greater."
130,Brainstorm,"Draw three cards, then put two cards from your hand on top of your library in any order."
131,Cyclonic Rift,"Return target nonland permanent you don't control to its owner's hand.
Overload {6}{U} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")"
132,Force of Will,"You may pay 1 life and exile a blue card from your hand rather than pay this spell's mana cost.
Counter target spell."
133,Hinder,"Counter target spell. If that spell is countered this way, put that card on the top or bottom of its owner's library instead of into that player's graveyard."
134,Metallic Rebuke,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Counter target spell unless its controller pays {3}."
135,Pongify,Destroy target creature. It can't be regenerated. Its controller creates a 3/3 green Ape creature token.
136,Steel Sabotage,"Choose one —
• Counter target artifact spell.
• Return target artifact to its owner's hand."
137,Thirst for Knowledge,Draw three cards. Then discard two cards unless you discard an artifact card.
138,Ad Nauseam,Reveal the top card of your library and put that card into your hand. You lose life equal to its mana value. You may repeat this process any number of times.
139,Cast Down,Destroy target nonlegendary creature.
140,Costly Plunder,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Draw two cards."
141,Fatal Push,"Destroy target creature if it has mana value 2 or less.
Revolt — Destroy that creature if it has mana value 4 or less instead if a permanent you controlled left the battlefield this turn."
142,Abrade,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact."
143,Balduvian Rage,"Target attacking creature gets +X/+0 until end of turn.
Draw a card at the beginning of the next turn's upkeep."
144,Brimstone Volley,"Brimstone Volley deals 3 damage to any target.
Morbid — Brimstone Volley deals 5 damage instead if a creature died this turn."
145,Galvanic Blast,"Galvanic Blast deals 2 damage to any target.
Metalcraft — Galvanic Blast deals 4 damage instead if you control three or more artifacts."
146,Lightning Axe,"As an additional cost to cast this spell, discard a card or pay {5}.
Lightning Axe deals 5 damage to target creature."
147,Temur Battle Rage,"Target creature gains double strike until end of turn.
Ferocious — That creature also gains trample until end of turn if you control a creature with power 4 or greater."
148,Weapon Surge,"Target creature you control gets +1/+0 and gains first strike until end of turn.
Overload {1}{R} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")"
149,Chord of Calling,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Search your library for a creature card with mana value X or less, put it onto the battlefield, then shuffle."
150,Clear Shot,Target creature you control gets +1/+1 until end of turn. It deals damage equal to its power to target creature you don't control.
151,Crop Rotation,"As an additional cost to cast this spell, sacrifice a land.
Search your library for a land card, put that card onto the battlefield, then shuffle."
152,Crushing Vines,"Choose one —
• Destroy target creature with flying.
• Destroy target artifact."
153,Invigorate,"If you control a Forest, rather than pay this spell's mana cost, you may have an opponent gain 3 life.
Target creature gets +4/+4 until end of turn."
154,Might of the Masses,Target creature gets +1/+1 until end of turn for each creature you control.
155,Sylvan Might,"Target creature gets +2/+2 and gains trample until end of turn.
Flashback {2}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
156,Manamorphose,"Add two mana in any combination of colors.
Draw a card."
157,Unlicensed Disintegration,"Destroy target creature. If you control an artifact, Unlicensed Disintegration deals 3 damage to that creature's controller."
158,Eye for an Eye,"The next time a source of your choice would deal damage to you this turn, instead that source deals that much damage to you and Eye for an Eye deals that much damage to that source's controller."
159,Reverse Polarity,"You gain X life, where X is twice the damage dealt to you so far this turn by artifacts."
160,Crumble,Destroy target artifact. It can't be regenerated. That artifact's controller gains life equal to its mana value.
161,And They Shall Know No Fear,Choose a creature type. Creatures you control of the chosen type get +1/+0 and gain indestructible until end of turn.
162,Nurgle's Conscription,"Put target creature card from an opponent's graveyard onto the battlefield tapped under your control, then exile that player's graveyard."
163,Blood for the Blood God!,"This spell costs {1} less to cast for each creature that died this turn.
Discard your hand, then draw eight cards. Blood for the Blood God! deals 8 damage to each opponent. Exile Blood for the Blood God!"
164,Chaos Mutation,"Exile any number of target creatures controlled by different players. For each creature exiled this way, its controller reveals cards from the top of their library until they reveal a creature card, puts that card onto the battlefield, then puts the rest on the bottom of their library in a random order."
165,Deny the Witch,"Counter target spell, activated ability, or triggered ability. Its controller loses life equal to the number of creatures you control."
166,Kill! Maim! Burn!,"Choose one or more —
• Destroy target artifact.
• Destroy target creature.
• Kill! Maim! Burn! deals 3 damage to target player."
167,Entrapment Maneuver,"Target player sacrifices an attacking creature. You create X 1/1 white Soldier creature tokens, where X is that creature's toughness."
168,Aetherize,Return all attacking creatures to their owner's hand.
169,Bile Blight,Target creature and all other creatures with the same name as that creature get -3/-3 until end of turn.
170,Darkness,Prevent all combat damage that would be dealt this turn.
171,Defile,Target creature gets -1/-1 until end of turn for each Swamp you control.
172,Reverberate,Copy target instant or sorcery spell. You may choose new targets for the copy.
173,Starstorm,"Starstorm deals X damage to each creature.
Cycling {3} ({3}, Discard this card: Draw a card.)"
174,Harrow,"As an additional cost to cast this spell, sacrifice a land.
Search your library for up to two basic land cards, put them onto the battlefield, then shuffle."
175,Inspiring Call,Draw a card for each creature you control with a +1/+1 counter on it. Those creatures gain indestructible until end of turn.
176,Bituminous Blast,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)
Bituminous Blast deals 4 damage to target creature."
177,Mortify,Destroy target creature or enchantment.
178,Utter End,Exile target nonland permanent.
179,Alabaster Potion,"Choose one —
• Target player gains X life.
• Prevent the next X damage that would be dealt to any target this turn."
180,Morale,Attacking creatures get +1/+1 until end of turn.
181,Piety,Blocking creatures get +0/+3 until end of turn.
182,Marsh Gas,All creatures get -2/-0 until end of turn.
183,Blood Lust,"If target creature has toughness 5 or greater, it gets +4/-4 until end of turn. Otherwise, it gets +4/-X until end of turn, where X is its toughness minus 1."
184,Fissure,Destroy target creature or land. It can't be regenerated.
185,Inferno,Inferno deals 6 damage to each creature and each player.
186,Sandstorm,Sandstorm deals 1 damage to each attacking creature.
187,Abuna's Chant,"Choose one —
• You gain 5 life.
• Prevent the next 5 damage that would be dealt to target creature this turn.
Entwine {2} (Choose both if you pay the entwine cost.)"
188,Armed Response,Armed Response deals damage to target attacking creature equal to the number of Equipment you control.
189,Retaliate,Destroy all creatures that dealt damage to you this turn.
190,Stand Firm,"Target creature gets +1/+1 until end of turn. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
191,Vanquish,Destroy target blocking creature.
192,Blinkmoth Infusion,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)
Untap all artifacts."
193,Condescend,"Counter target spell unless its controller pays {X}. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
194,Early Frost,Tap up to three target lands.
195,Fold into Aether,"Counter target spell. If that spell is countered this way, its controller may put a creature card from their hand onto the battlefield."
196,Into Thin Air,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)
Return target artifact to its owner's hand."
197,Spectral Shift,"Choose one —
• Change the text of target spell or permanent by replacing all instances of one basic land type with another. (This effect lasts indefinitely.)
• Change the text of target spell or permanent by replacing all instances of one color word with another. (This effect lasts indefinitely.)
Entwine {2} (Choose both if you pay the entwine cost.)"
198,Devour in Shadow,Destroy target creature. It can't be regenerated. You lose life equal to that creature's toughness.
199,Lose Hope,"Target creature gets -1/-1 until end of turn. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
200,Plunge into Darkness,"Choose one —
• Sacrifice any number of creatures. You gain 3 life for each sacrificed creature.
• Pay X life, then look at the top X cards of your library. Put one of those cards into your hand and exile the rest.
Entwine {B} (Choose both if you pay the entwine cost.)"
201,Feedback Bolt,Feedback Bolt deals damage to target player or planeswalker equal to the number of artifacts you control.
202,Magma Jet,Magma Jet deals 2 damage to any target. Scry 2.
203,Magnetic Theft,Attach target Equipment to target creature. (Control of the Equipment doesn't change.)
204,Rain of Rust,"Choose one —
• Destroy target artifact.
• Destroy target land.
Entwine {3}{R} (Choose both if you pay the entwine cost.)"
205,Ferocious Charge,"Target creature gets +4/+4 until end of turn. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
206,Tel-Jilad Justice,"Destroy target artifact. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
207,Blessed Wine,"You gain 1 life.
Draw a card at the beginning of the next turn's upkeep."
208,Divine Offering,Destroy target artifact. You gain life equal to its mana value.
209,Heal,"Prevent the next 1 damage that would be dealt to any target this turn.
Draw a card at the beginning of the next turn's upkeep."
210,Sacred Boon,"Prevent the next 3 damage that would be dealt to target creature this turn. At the beginning of the next end step, put a +0/+1 counter on that creature for each 1 damage prevented this way."
211,Shield Wall,Creatures you control get +0/+2 until end of turn.
212,Truce,"Each player may draw up to two cards. For each card less than two a player draws this way, that player gains 2 life."
213,Deflection,Change the target of target spell with a single target.
214,Enervate,"Tap target artifact, creature, or land.
Draw a card at the beginning of the next turn's upkeep."
215,Force Spike,Counter target spell unless its controller pays {1}.
216,Hydroblast,"Choose one —
• Counter target spell if it's red.
• Destroy target permanent if it's red."
217,Memory Lapse,"Counter target spell. If that spell is countered this way, put it on top of its owner's library instead of into that player's graveyard."
218,Ray of Command,"Untap target creature an opponent controls and gain control of it until end of turn. That creature gains haste until end of turn. When you lose control of the creature, tap it."
219,Updraft,"Target creature gains flying until end of turn.
Draw a card at the beginning of the next turn's upkeep."
220,Broken Visage,Destroy target nonartifact attacking creature. It can't be regenerated. Create a black Spirit creature token. Its power is equal to that creature's power and its toughness is equal to that creature's toughness. Sacrifice the token at the beginning of the next end step.
221,Dwarven Catapult,"Dwarven Catapult deals X damage divided evenly, rounded down, among all creatures target opponent controls."
222,Flare,"Flare deals 1 damage to any target.
Draw a card at the beginning of the next turn's upkeep."
223,Panic,"Cast this spell only during combat before blockers are declared.
Target creature can't block this turn.
Draw a card at the beginning of the next turn's upkeep."
224,Pyroblast,"Choose one —
• Counter target spell if it's blue.
• Destroy target permanent if it's blue."
225,Word of Blasting,Destroy target Wall. It can't be regenerated. Word of Blasting deals damage equal to that Wall's mana value to the Wall's controller.
226,Foxfire,"Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.
Draw a card at the beginning of the next turn's upkeep."
227,Shrink,Target creature gets -5/-0 until end of turn.
228,Stampede,Attacking creatures get +1/+0 and gain trample until end of turn.
229,Enlightened Tutor,"Search your library for an artifact or enchantment card, reveal it, then shuffle and put that card on top."
230,Exile,Exile target nonwhite attacking creature. You gain life equal to its toughness.
231,Remedy,"Prevent the next 5 damage that would be dealt this turn to any number of targets, divided as you choose."
232,Reprisal,Destroy target creature with power 4 or greater. It can't be regenerated.
233,Desertion,"Counter target spell. If an artifact or creature spell is countered this way, put that card onto the battlefield under your control instead of into its owner's graveyard."
234,Flash,"You may put a creature card from your hand onto the battlefield. If you do, sacrifice it unless you pay its mana cost reduced by up to {2}."
235,Inspiration,Target player draws two cards.
236,Mystical Tutor,"Search your library for an instant or sorcery card, reveal it, then shuffle and put that card on top."
237,Fatal Blow,Destroy target creature that was dealt damage this turn. It can't be regenerated.
238,Vampiric Tutor,"Search your library for a card, then shuffle and put that card on top. You lose 2 life."
239,Boil,Destroy all Islands.
240,Final Fortune,"Take an extra turn after this one. At the beginning of that turn's end step, you lose the game."
241,Lightning Blast,Lightning Blast deals 4 damage to any target.
242,Vertigo,Vertigo deals 2 damage to target creature with flying. That creature loses flying until end of turn.
243,Volcanic Geyser,Volcanic Geyser deals X damage to any target.
244,Early Harvest,Target player untaps all basic lands they control.
245,Vitalize,Untap all creatures you control.
246,Worldly Tutor,"Search your library for a creature card, reveal it, then shuffle and put the card on top."
247,Blessed Reversal,You gain 3 life for each creature attacking you.
248,Hibernation,Return all green permanents to their owners' hands.
249,Opportunity,Target player draws four cards.
250,Tolarian Winds,"Discard all the cards in your hand, then draw that many cards."
251,Dark Banishing,Destroy target nonblack creature. It can't be regenerated.
252,Necrologia,"Cast this spell only during your end step.
As an additional cost to cast this spell, pay X life.
Draw X cards."
253,Nocturnal Raid,Black creatures get +2/+0 until end of turn.
254,Reclaim,Put target card from your graveyard on top of your library.
255,Chastise,Destroy target attacking creature. You gain life equal to its power.
256,Rain of Blades,Rain of Blades deals 1 damage to each attacking creature.
257,Redeem,Prevent all damage that would be dealt this turn to up to two target creatures.
258,Solidarity,Creatures you control get +0/+5 until end of turn.
259,Catalog,"Draw two cards, then discard a card."
260,Flash Counter,Counter target instant spell.
261,Rewind,Counter target spell. Untap up to four lands.
262,Execute,"Destroy target white creature. It can't be regenerated.
Draw a card."
263,Slay,"Destroy target green creature. It can't be regenerated.
Draw a card."
264,Enrage,Target creature gets +X/+0 until end of turn.
265,Searing Wind,Searing Wind deals 10 damage to any target.
266,Natural Affinity,All lands become 2/2 creatures until end of turn. They're still lands.
267,Inspirit,Untap target creature. It gets +2/+4 until end of turn.
268,Mending Hands,Prevent the next 4 damage that would be dealt to any target this turn.
269,Seething Song,Add {R}{R}{R}{R}{R}.
270,Act of Heroism,Untap target creature. It gets +2/+2 until end of turn and can block an additional creature this turn.
271,Cloudshift,"Exile target creature you control, then return that card to the battlefield under your control."
272,Congregate,Target player gains 2 life for each creature on the battlefield.
273,Renewed Faith,"You gain 6 life.
Cycling {1}{W} ({1}{W}, Discard this card: Draw a card.)
When you cycle Renewed Faith, you may gain 2 life."
274,Accumulated Knowledge,"Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards."
275,Arcane Denial,"Counter target spell. Its controller may draw up to two cards at the beginning of the next turn's upkeep.
You draw a card at the beginning of the next turn's upkeep."
276,Blue Sun's Zenith,Target player draws X cards. Shuffle Blue Sun's Zenith into its owner's library.
277,Choking Tethers,"Tap up to four target creatures.
Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)
When you cycle Choking Tethers, you may tap target creature."
278,Exclude,"Counter target creature spell.
Draw a card."
279,Pact of Negation,"Counter target spell.
At the beginning of your next upkeep, pay {3}{U}{U}. If you don't, you lose the game."
280,Retraction Helix,"Until end of turn, target creature gains ""{T}: Return target nonland permanent to its owner's hand."""
281,Totally Lost,Put target nonland permanent on top of its owner's library.
282,Twisted Image,"Switch target creature's power and toughness until end of turn.
Draw a card."
283,Diabolic Edict,Target player sacrifices a creature.
284,Murder,Destroy target creature.
285,Chandra's Outrage,Chandra's Outrage deals 4 damage to target creature and 2 damage to that creature's controller.
286,Kindle,"Kindle deals X damage to any target, where X is 2 plus the number of cards named Kindle in all graveyards."
287,Skeletonize,"Skeletonize deals 3 damage to target creature. When a creature dealt damage this way dies this turn, create a 1/1 black Skeleton creature token with ""{B}: Regenerate this creature."""
288,Trumpet Blast,Attacking creatures get +2/+0 until end of turn.
289,Uncaged Fury,Target creature gets +1/+1 and gains double strike until end of turn. (It deals both first-strike and regular combat damage.)
